TIMESTAMP | ROBOT | TOPIC | X | Y | YAW(deg)
03:28:47.622 | iw_hub_5 | AMCL | X: 3.94 | Y: 13.03 | Yaw: -93.89°
03:28:49.428 | iw_hub_2 | AMCL | X: 1.91 | Y: 3.39 | Yaw: -1.93°
03:28:49.496 | iw_hub_3 | AMCL | X: 0.24 | Y: 5.96 | Yaw: 41.04°
03:28:50.200 | iw_hub_5 | AMCL | X: 3.91 | Y: 12.76 | Yaw: -96.04°
03:28:53.559 | iw_hub_2 | AMCL | X: 1.99 | Y: 3.38 | Yaw: -14.90°
03:28:54.060 | iw_hub_5 | AMCL | X: 3.88 | Y: 12.51 | Yaw: -96.38°
03:28:59.015 | iw_hub_2 | AMCL | X: 1.99 | Y: 3.40 | Yaw: -26.09°
03:29:02.755 | iw_hub_5 | AMCL | X: 3.85 | Y: 12.28 | Yaw: -104.55°
03:29:04.471 | iw_hub_3 | AMCL | X: 0.25 | Y: 5.96 | Yaw: 29.89°
03:29:05.464 | iw_hub_2 | AMCL | X: 2.23 | Y: 3.30 | Yaw: -19.10°
03:29:06.961 | iw_hub_2 | AMCL | X: 2.51 | Y: 3.21 | Yaw: -16.87°
03:29:08.400 | iw_hub_5 | AMCL | X: 3.82 | Y: 12.19 | Yaw: -116.02°
03:29:08.674 | iw_hub_2 | AMCL | X: 2.78 | Y: 3.13 | Yaw: -16.44°
03:29:09.879 | iw_hub_5 | AMCL | X: 3.83 | Y: 12.22 | Yaw: -127.90°
03:29:10.102 | iw_hub_3 | AMCL | X: 0.25 | Y: 5.96 | Yaw: 18.29°
03:29:11.006 | iw_hub_2 | AMCL | X: 3.06 | Y: 3.10 | Yaw: -12.37°
03:29:11.507 | iw_hub_5 | AMCL | X: 3.82 | Y: 12.22 | Yaw: -141.13°
03:29:13.906 | iw_hub_5 | AMCL | X: 3.79 | Y: 12.19 | Yaw: -153.15°
03:29:15.570 | iw_hub_5 | AMCL | X: 3.78 | Y: 12.19 | Yaw: -165.76°
03:29:15.991 | iw_hub_3 | AMCL | X: 0.26 | Y: 5.97 | Yaw: 6.31°
03:29:16.845 | iw_hub_5 | AMCL | X: 3.78 | Y: 12.19 | Yaw: -177.78°
03:29:18.091 | iw_hub_2 | AMCL | X: 3.30 | Y: 3.07 | Yaw: -12.94°
03:29:18.229 | iw_hub_5 | AMCL | X: 3.77 | Y: 12.19 | Yaw: 169.50°
03:29:19.753 | iw_hub_5 | AMCL | X: 3.74 | Y: 12.20 | Yaw: 157.37°
03:29:21.597 | iw_hub_5 | AMCL | X: 3.73 | Y: 12.22 | Yaw: 145.76°
03:29:21.744 | iw_hub_3 | AMCL | X: 0.26 | Y: 5.98 | Yaw: -5.23°
03:29:24.836 | iw_hub_5 | AMCL | X: 3.74 | Y: 12.22 | Yaw: 133.84°
03:29:26.431 | iw_hub_2 | AMCL | X: 3.55 | Y: 3.00 | Yaw: -13.78°
03:29:29.364 | iw_hub_3 | AMCL | X: 0.28 | Y: 5.99 | Yaw: -17.10°
03:29:30.905 | iw_hub_5 | AMCL | X: 3.75 | Y: 12.21 | Yaw: 122.57°
03:29:37.081 | iw_hub_5 | AMCL | X: 3.72 | Y: 12.22 | Yaw: 111.64°
03:29:38.298 | iw_hub_3 | AMCL | X: 0.31 | Y: 6.00 | Yaw: -6.20°
03:29:40.883 | iw_hub_3 | AMCL | X: 0.59 | Y: 5.97 | Yaw: -1.79°
03:29:41.961 | iw_hub_5 | AMCL | X: 3.71 | Y: 12.28 | Yaw: 99.31°
03:29:42.259 | iw_hub_3 | AMCL | X: 0.87 | Y: 5.96 | Yaw: -0.66°
03:29:43.916 | iw_hub_5 | AMCL | X: 3.66 | Y: 12.58 | Yaw: 92.22°
03:29:44.153 | iw_hub_3 | AMCL | X: 1.14 | Y: 5.95 | Yaw: -1.45°
03:29:45.148 | iw_hub_5 | AMCL | X: 3.64 | Y: 12.85 | Yaw: 88.44°
03:29:46.530 | iw_hub_5 | AMCL | X: 3.65 | Y: 13.14 | Yaw: 87.03°
03:29:49.994 | iw_hub_5 | AMCL | X: 3.66 | Y: 13.40 | Yaw: 82.94°
